Branch,Sub_branch,Reference,ID
Application fields,"Finance, military, transportation and aerospace","\cite{adadi2018peeking,shukla2020opportunities}\\","adadi2018peeking,shukla2020opportunities"
Application fields,Law ,"\cite{adadi2018peeking, rudin2014algorithms,rudin2019stop}\\","adadi2018peeking,rudin2014algorithms,rudin2019stop"
Application fields,Healthcare ,"\cite{adadi2020explainable,fellous2019explainable,freitas2010importance,gordon2019explainable,holzinger2016interactive,payrovnaziri2020explainable,ram2019importance,rudin2014algorithms,rudin2019stop,tjoa2020survey}\\","adadi2020explainable,fellous2019explainable,freitas2010importance,gordon2019explainable,holzinger2016interactive,payrovnaziri2020explainable,ram2019importance,rudin2014algorithms,rudin2019stop,tjoa2020survey"
Application fields,Human-computer interaction ,"\cite{lawless2019artificial,wang2019designing,wolf2020designing}\\","lawless2019artificial,wang2019designing,wolf2020designing"
Approaches - data-driven,Bayesian networks ,\cite{lacave2002review}\\,lacave2002review
Approaches - data-driven,Neural networks ,"\cite{andrews1995survey,arras2019evaluating,bengio2013representation,choo2018visual,craven1992visualizing,dam2018explainable,hailesilassie2016rule,hoffman2018explaining,jacobsson2005rule,mathews2019explainable,montavon2017methods,samek2019towards,zhang2018visual}\\","andrews1995survey,arras2019evaluating,bengio2013representation,choo2018visual,craven1992visualizing,dam2018explainable,hailesilassie2016rule,hoffman2018explaining,jacobsson2005rule,mathews2019explainable,montavon2017methods,samek2019towards,zhang2018visual"
Approaches - data-driven,Support vector machines ,"\cite{backhaus2014classification,martens2007comprehensible}\\","backhaus2014classification,martens2007comprehensible"
Approaches - knowledge-driven,Expert systems ,\cite{swartout1993explanation}\\,swartout1993explanation
Approaches - knowledge-driven,Intelligent systems ,\cite{gregor1999explanations}\\,gregor1999explanations
Approaches - knowledge-driven,Recommender systems ,\cite{papadimitriou2012generalized}\\,papadimitriou2012generalized
Output formats,Rules,"\cite{andrews1995survey, besold2015towards, bonacina2017automated, fernandez2019evolutionary, garcez2015neural, guillaume2001designing, hailesilassie2016rule, jacobsson2005rule, lisboa2013interpretability, martens2007comprehensible}\\","andrews1995survey,besold2015towards,bonacina2017automated,fernandez2019evolutionary,garcez2015neural,guillaume2001designing,hailesilassie2016rule,jacobsson2005rule,lisboa2013interpretability,martens2007comprehensible"
Output formats,Textual,"\cite{belle2017logic, mencar2018paving, swartout1993explanation}\\","belle2017logic,mencar2018paving,swartout1993explanation"
Output formats,Visual,"\cite{choo2018visual, craven1992visualizing,  lisboa2013interpretability, zhang2018visual}\\","choo2018visual,craven1992visualizing,lisboa2013interpretability,zhang2018visual"
Theories & concepts,\emph{See expanded subcategories in Sec. \ref{notions}} ,"\cite{abdul2018trends,bhatt2020explainable,bibal2016interpretability,byrne2019counterfactuals, doran2017does,dovsilovic2018explainable,lipton2018mythos,miller2017explainable,moraffah2020causal,naiseh2020explainable,paez2019pragmatic,roscher2020explainable,sokol2020explainability,sormo2005explanation}\\","abdul2018trends,bhatt2020explainable,bibal2016interpretability,byrne2019counterfactuals, doran2017does,dovsilovic2018explainable,lipton2018mythos,miller2017explainable,moraffah2020causal,naiseh2020explainable,paez2019pragmatic,roscher2020explainable,sokol2020explainability,sormo2005explanation"
Problem Types,Classification ,"\cite{backhaus2014classification,choo2018visual, freitas2010importance,guillaume2001designing, hailesilassie2016rule,martens2011performance, otte2013safe,zhang2018visual}\\","backhaus2014classification,choo2018visual,freitas2010importance,guillaume2001designing,hailesilassie2016rule,martens2011performance,otte2013safe,zhang2018visual"
Problem Types,Regression ,\cite{otte2013safe}\\,otte2013safe
Generic reviews,  -  ,"\cite{adadi2018peeking, arrieta2020explainable, biran2017explanation,cui2019integrative,gade2019explainable,guidotti2018survey,li2020survey,longo2020explainable,rai2020explainable,xu2019explainable,thomson2020knowledge}\\","adadi2018peeking,arrieta2020explainable,biran2017explanation,cui2019integrative,gade2019explainable,guidotti2018survey,li2020survey,longo2020explainable,rai2020explainable,xu2019explainable,thomson2020knowledge"
